Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
k44_M05964-contigs	134	36	31	25	19	9	1856487	1843001	1828185	1778633	1686546	1298668	41	473423	1846118	1887620	37.95	38.23	97979	97979	44883	44231	5	5	11	12	29	13	1424804	59	5 + 5 part	94609	83.927	1.106	8.29	2365.64	61.61	145100	38866	38866	16510	14342	14	14	31	33
k44_M07572-contigs	261	72	47	36	26	13	2018561	1993863	1920860	1849422	1676512	1254806	74	217183	1995099	1887620	38.36	38.23	80448	80448	33152	35070	9	9	20	18	9	9	389808	30	5 + 16 part	99306	94.328	1.065	8.32	1191.32	32.07	216292	71113	79041	22445	27653	10	9	25	21
k44_M10540-contigs	69	29	27	24	16	9	1846668	1841807	1837035	1816581	1703942	1445343	30	334836	1842389	1887620	38.10	38.23	157960	157960	63553	52654	4	4	8	9	51	11	1233673	49	3 + 9 part	311369	60.241	1.346	0.05	3558.70	82.84	48752	9570	8646	-	-	42	45	-	-
k44_M16180-contigs	141	49	39	30	22	12	1875236	1860135	1838044	1771774	1624648	1313950	56	369249	1864193	1887620	38.08	38.23	82364	82364	33896	33896	7	7	15	15	20	15	1218300	30	6 + 8 part	79949	87.473	1.081	1.45	1844.70	49.66	191527	41410	40366	18834	18648	11	12	27	28
k77_M05964-contigs	84	36	27	23	18	9	1861765	1852825	1832670	1800812	1727524	1393482	38	343779	1854153	1887620	37.95	38.23	144973	122974	60895	49193	4	5	9	10	33	13	1492538	62	2 + 6 part	41974	84.067	1.142	1.19	2361.95	63.08	202907	38590	38494	16563	14101	13	14	31	33
k77_M07572-contigs	126	51	34	29	20	13	2033998	2015592	1957892	1923302	1769021	1533445	59	312213	2022140	1887620	38.40	38.23	103159	103159	52032	67108	6	6	13	11	19	14	1024083	34	3 + 9 part	79874	94.783	1.086	0.49	1221.48	32.47	288042	82838	82838	25072	37585	8	8	19	16
k77_M10540-contigs	38	21	20	18	13	9	1843463	1840271	1836531	1825488	1765750	1618312	22	400731	1840807	1887620	38.10	38.23	285281	285281	83976	83976	3	3	6	6	57	10	1340551	53	2 + 6 part	274655	60.186	1.379	0.00	3559.69	82.92	48752	9582	8646	-	-	39	42	-	-
k77_M16180-contigs	69	33	31	25	21	13	1877718	1870234	1865087	1825390	1755503	1496920	37	369262	1872401	1887620	38.09	38.23	100164	93358	52751	52751	5	6	12	12	23	11	1287506	37	5 + 3 part	57596	87.961	1.093	0.80	1848.20	50.23	191540	47105	47105	21108	21108	10	10	24	24
k127_M05964-contigs	41	35	21	18	16	10	1943458	1941913	1912787	1890847	1863980	1632852	35	550439	1941913	1887620	38.00	38.23	183050	183050	75809	81560	3	3	8	7	40	13	1682881	67	1 + 6 part	29835	84.227	1.203	0.00	2339.73	63.28	202935	38866	41226	16883	20262	13	12	30	27
k127_M07572-contigs	55	43	35	23	17	12	2047751	2044301	2021558	1931796	1826189	1659461	43	312376	2044301	1887620	38.44	38.23	141208	141208	77394	81370	5	5	10	9	19	10	1012221	35	1 + 8 part	54010	95.023	1.110	0.00	1211.87	32.17	288058	93346	93346	28434	45040	7	7	17	14
