Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
k44_M05964-contigs	134	36	31	25	19	9	1856487	1843001	1828185	1778633	1686546	1298668	41	473423	1846118	1932306	37.95	38.08	97979	97979	44883	40839	5	5	11	13	40	20	1554990	56	3 + 2 part	26804	84.488	1.114	8.29	2554.20	61.80	196166	36108	31783	13678	11445	12	14	32	37
k44_M07572-contigs	261	72	47	36	26	13	2018561	1993863	1920860	1849422	1676512	1254806	74	217183	1995099	1932306	38.36	38.08	80448	80448	33152	33430	9	9	20	19	27	17	1167869	53	26 + 13 part	221266	83.908	1.094	8.32	2347.06	59.33	133209	37328	38107	10969	12594	16	15	40	36
k44_M10540-contigs	69	29	27	24	16	9	1846668	1841807	1837035	1816581	1703942	1445343	30	334836	1842389	1932306	38.10	38.08	157960	154878	63553	49096	4	5	8	10	63	16	1184363	20	1 + 9 part	367930	58.329	1.308	0.05	3653.66	89.97	58344	8526	7136	-	-	47	53	-	-
k44_M16180-contigs	141	49	39	30	22	12	1875236	1860135	1838044	1771774	1624648	1313950	56	369249	1864193	1932306	38.08	38.08	82364	82364	33896	31742	7	7	15	16	31	19	1475970	46	11 + 7 part	104113	83.152	1.095	1.45	2421.08	61.93	132987	37402	34936	14202	10593	14	15	34	38
k77_M05964-contigs	84	36	27	23	18	9	1861765	1852825	1832670	1800812	1727524	1393482	38	343779	1854153	1932306	37.95	38.08	144973	122974	60895	46134	4	5	9	11	46	20	1588418	55	4 + 0 part	20272	84.399	1.124	1.19	2553.14	63.59	196199	38494	36104	16539	13006	12	13	30	34
k77_M07572-contigs	126	51	34	29	20	13	2033998	2015592	1957892	1923302	1769021	1533445	59	312213	2022140	1932306	38.40	38.08	103159	103159	52032	63910	6	6	13	12	35	17	1490128	58	21 + 10 part	212035	84.298	1.111	0.49	2350.87	61.33	139314	38285	38921	14555	17420	15	14	35	31
k77_M10540-contigs	38	21	20	18	13	9	1843463	1840271	1836531	1825488	1765750	1618312	22	400731	1840807	1932306	38.10	38.08	285281	285281	83976	83976	3	3	6	6	78	15	1418134	26	0 + 5 part	270955	58.100	1.398	0.00	3660.27	87.20	58344	9573	7066	-	-	44	50	-	-
k77_M16180-contigs	69	33	31	25	21	13	1877718	1870234	1865087	1825390	1755503	1496920	37	369262	1872401	1932306	38.09	38.08	100164	93358	52751	52076	5	6	12	13	36	17	1561689	54	5 + 5 part	91313	84.316	1.093	0.80	2444.02	65.74	133083	40161	39341	16283	14202	12	13	30	33
k127_M05964-contigs	41	35	21	18	16	10	1943458	1941913	1912787	1890847	1863980	1632852	35	550439	1941913	1932306	38.00	38.08	183050	183050	75809	75809	3	3	8	8	59	20	1702419	58	3 + 0 part	12276	85.047	1.174	0.00	2544.53	63.71	207278	38494	38494	16539	16539	12	12	31	31
k127_M07572-contigs	55	43	35	23	17	12	2047751	2044301	2021558	1931796	1826189	1659461	43	312376	2044301	1932306	38.44	38.08	141208	141208	77394	81370	5	5	10	9	36	14	1714416	58	14 + 7 part	196991	84.481	1.132	0.00	2348.41	61.69	139314	39499	40864	14174	17420	14	13	34	28
