Assembly	M05964_contigs	M07572_contigs	M10540_contigs	M16180_contigs
# contigs (>= 0 bp)	42	56	18	7028
# contigs (>= 1000 bp)	14	36	11	621
# contigs (>= 5000 bp)	11	22	8	3
# contigs (>= 10000 bp)	10	18	8	0
# contigs (>= 25000 bp)	10	14	7	0
# contigs (>= 50000 bp)	8	12	4	0
Total length (>= 0 bp)	1831657	1965102	1811331	3320808
Total length (>= 1000 bp)	1821194	1955209	1808761	1071265
Total length (>= 5000 bp)	1816377	1924256	1802504	16099
Total length (>= 10000 bp)	1810330	1897645	1802504	0
Total length (>= 25000 bp)	1810330	1840422	1792310	0
Total length (>= 50000 bp)	1739635	1787121	1700270	0
# contigs	19	45	12	1590
Largest contig	545971	305868	1150911	5936
Total length	1824603	1961709	1809438	1738815
Reference length	1819370	1819370	1819370	1819370
GC (%)	37.88	38.25	37.91	38.00
Reference GC (%)	38.02	38.02	38.02	38.02
N50	444952	200368	1150911	1206
NG50	444952	200368	1150911	1164
N75	179754	79547	311459	786
NG75	179754	112073	311459	728
L50	2	4	1	437
LG50	2	4	1	471
L75	4	8	2	884
LG75	4	7	2	964
# misassemblies	23	32	29	7
# misassembled contigs	7	12	4	7
Misassembled contigs length	1489261	1685479	588604	14284
# local misassemblies	42	65	14	11
# unaligned contigs	1 + 1 part	18 + 5 part	0 + 5 part	367 + 103 part
Unaligned length	3376	100281	633661	457904
Genome fraction (%)	93.068	87.973	50.478	65.013
Duplication ratio	1.076	1.163	1.280	1.083
# N's per 100 kbp	59.52	57.45	38.30	84.60
# mismatches per 100 kbp	1980.27	2309.20	3502.32	2061.43
# indels per 100 kbp	56.75	61.79	87.44	45.91
Largest alignment	300479	255057	67913	5147
NA50	98146	50394	1514	845
NGA50	98146	51885	1171	804
NA75	38878	20822	-	-
NGA75	38878	25638	-	-
LA50	5	11	80	572
LGA50	5	10	84	621
LA75	14	27	-	-
LGA75	14	23	-	-
