Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
k44_M05964-contigs	134	36	31	25	19	9	1856487	1843001	1828185	1778633	1686546	1298668	41	473423	1846118	1850897	37.95	38.16	97979	97979	44883	44883	5	5	11	11	34	14	1460794	61	4 + 5 part	84983	86.581	1.099	8.29	2466.85	60.72	128087	38866	38866	14919	14919	15	15	33	33
k44_M07572-contigs	261	72	47	36	26	13	2018561	1993863	1920860	1849422	1676512	1254806	74	217183	1995099	1850897	38.36	38.16	80448	80448	33152	37295	9	9	20	17	8	7	331525	15	18 + 10 part	137042	95.665	1.049	8.32	784.28	23.61	216748	73057	73523	26462	29275	10	9	23	19
k44_M10540-contigs	69	29	27	24	16	9	1846668	1841807	1837035	1816581	1703942	1445343	30	334836	1842389	1850897	38.10	38.16	157960	157960	63553	63553	4	4	8	8	56	13	1306962	50	3 + 7 part	286635	61.768	1.361	0.05	3574.33	86.16	47680	9724	9721	-	-	43	44	-	-
k44_M16180-contigs	141	49	39	30	22	12	1875236	1860135	1838044	1771774	1624648	1313950	56	369249	1864193	1850897	38.08	38.16	82364	82364	33896	36285	7	7	15	14	13	8	935765	26	5 + 14 part	80106	90.324	1.067	1.45	1742.56	46.96	191527	42158	42158	23796	26468	11	11	26	25
k77_M05964-contigs	84	36	27	23	18	9	1861765	1852825	1832670	1800812	1727524	1393482	38	343779	1854153	1850897	37.95	38.16	144973	144973	60895	60895	4	4	9	9	40	14	1521560	64	3 + 5 part	33064	87.017	1.131	1.19	2476.60	62.90	128120	38690	38690	18403	18403	15	15	31	31
k77_M07572-contigs	126	51	34	29	20	13	2033998	2015592	1957892	1923302	1769021	1533445	59	312213	2022140	1850897	38.40	38.16	103159	103159	52032	67108	6	6	13	11	9	8	623843	19	11 + 10 part	116134	96.559	1.066	0.49	796.27	24.68	256031	83831	102175	28331	44914	7	6	17	13
k77_M10540-contigs	38	21	20	18	13	9	1843463	1840271	1836531	1825488	1765750	1618312	22	400731	1840807	1850897	38.10	38.16	285281	285281	83976	83976	3	3	6	6	62	12	1407067	54	2 + 4 part	257234	62.068	1.378	0.00	3579.77	88.09	47680	10803	10424	-	-	40	41	-	-
k77_M16180-contigs	69	33	31	25	21	13	1877718	1870234	1865087	1825390	1755503	1496920	37	369262	1872401	1850897	38.09	38.16	100164	100164	52751	57916	5	5	12	11	17	10	1039687	32	2 + 7 part	77465	91.039	1.065	0.80	1752.90	46.71	191540	55107	55107	28060	28060	10	10	21	21
k127_M05964-contigs	41	35	21	18	16	10	1943458	1941913	1912787	1890847	1863980	1632852	35	550439	1941913	1850897	38.00	38.16	183050	183050	75809	81560	3	3	8	7	49	15	1692929	70	3 + 2 part	12112	87.400	1.193	0.00	2466.29	63.79	159838	40705	40859	19190	21333	14	13	31	28
k127_M07572-contigs	55	43	35	23	17	12	2047751	2044301	2021558	1931796	1826189	1659461	43	312376	2044301	1850897	38.44	38.16	141208	141208	77394	81370	5	5	10	9	10	10	919474	22	4 + 7 part	93693	96.851	1.088	0.00	800.78	25.38	256047	114283	121740	40277	66987	6	5	14	10
k127_M10540-contigs	19	15	14	12	10	7	1839699	1838715	1836960	1826417	1801233	1701763	16	409689	1839251	1850897	38.07	38.16	333934	333934	191716	191716	3	3	5	5	84	9	1750271	57	2 + 2 part	55440	60.548	1.592	0.00	3571.84	86.29	47680	10803	10803	-	-	40	40	-	-
k127_M16180-contigs	36	26	22	17	15	13	1890630	1887625	1877331	1843900	1812508	1755696	27	401071	1888140	1850897	38.18	38.16	138055	138055	96606	116061	5	5	9	8	17	7	1121560	34	0 + 5 part	44710	91.968	1.083	0.00	1698.89	44.88	223389	89698	98123	33409	42158	8	7	16	15
k99_M05964-contigs	61	36	23	19	15	8	1868767	1863738	1836604	1805426	1751712	1485927	37	550431	1864279	1850897	38.00	38.16	182978	182978	79438	79438	3	3	7	7	40	11	1524588	64	3 + 6 part	33967	87.318	1.133	0.00	2473.81	64.16	159838	40859	40859	19190	21333	13	13	29	28
k99_M07572-contigs	72	42	36	25	18	11	2042415	2032406	2013233	1934655	1808181	1564002	46	312355	2035777	1850897	38.44	38.16	141152	141152	53598	81353	5	5	11	9	10	10	773142	23	6 + 6 part	110938	96.799	1.074	0.00	801.72	25.40	256043	113693	123191	39789	48366	6	5	14	11
k99_M10540-contigs	23	17	15	13	11	7	1834414	1832278	1826810	1816267	1794781	1649111	19	400825	1833634	1850897	38.04	38.16	311520	311520	189976	189976	3	3	5	5	61	8	1353339	53	3 + 3 part	268949	61.045	1.385	0.05	3577.83	87.18	51516	10803	10283	-	-	39	40	-	-
k99_M16180-contigs	42	28	26	20	18	14	1893788	1889956	1884609	1845458	1810534	1681577	30	401071	1891040	1850897	38.18	38.16	125281	125281	73822	73822	5	5	10	10	17	8	1022861	35	0 + 6 part	46375	92.259	1.080	0.05	1696.11	45.15	223389	58338	58338	31629	33409	9	9	19	18
