Assembly	M05964_contigs	M07572_contigs	M10540_contigs	M16180_contigs
# contigs (>= 0 bp)	42	56	18	7028
# contigs (>= 1000 bp)	14	36	11	621
# contigs (>= 5000 bp)	11	22	8	3
# contigs (>= 10000 bp)	10	18	8	0
# contigs (>= 25000 bp)	10	14	7	0
# contigs (>= 50000 bp)	8	12	4	0
Total length (>= 0 bp)	1831657	1965102	1811331	3320808
Total length (>= 1000 bp)	1821194	1955209	1808761	1071265
Total length (>= 5000 bp)	1816377	1924256	1802504	16099
Total length (>= 10000 bp)	1810330	1897645	1802504	0
Total length (>= 25000 bp)	1810330	1840422	1792310	0
Total length (>= 50000 bp)	1739635	1787121	1700270	0
# contigs	19	45	12	1590
Largest contig	545971	305868	1150911	5936
Total length	1824603	1961709	1809438	1738815
Reference length	1981535	1981535	1981535	1981535
GC (%)	37.88	38.25	37.91	38.00
Reference GC (%)	38.14	38.14	38.14	38.14
N50	444952	200368	1150911	1206
NG50	444952	200368	1150911	1069
N75	179754	79547	311459	786
NG75	118299	79547	186938	642
L50	2	4	1	437
LG50	2	4	1	544
L75	4	8	2	884
LG75	5	8	3	1142
# misassemblies	58	52	54	14
# misassembled contigs	9	12	3	14
Misassembled contigs length	1782615	1749842	1215879	28359
# local misassemblies	61	56	27	17
# unaligned contigs	2 + 0 part	13 + 8 part	0 + 6 part	226 + 106 part
Unaligned length	8340	120269	294954	345446
Genome fraction (%)	81.179	81.429	50.172	64.499
Duplication ratio	1.129	1.141	1.523	1.090
# N's per 100 kbp	59.52	57.45	38.30	84.60
# mismatches per 100 kbp	2424.93	2349.93	3734.24	1862.49
# indels per 100 kbp	65.59	64.89	85.80	36.85
Largest alignment	122175	111107	67998	4699
NA50	44409	35717	6271	907
NGA50	39479	35717	713	786
NA75	19190	9517	-	539
NGA75	9732	9216	-	-
LA50	13	17	51	561
LGA50	15	17	80	706
LA75	28	41	-	1192
LGA75	37	43	-	-
